"task_name","task_version","task_versionDate","task_form","task_ageCohort","task_language","site_id","subject_id","session_num","session_date","session_start","trial_start","initials","machine_id","response_device","total_trials","shift_score","shift_error_diff","color_corr","color_errors","color_mean","color_median","color_stdev","shape_corr","shape_errors","shape_mean","shape_median","shape_stdev","shift_corr","shift_errors","shift_mean","shift_median","shift_stdev","shifted_corr","shifted_errors","shifted_mean","shifted_median","shifted_stdev","nonshifted_corr","nonshifted_errors","nonshifted_mean","nonshifted_median","nonshifted_stdev"
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3916",1,"06/05/2019","12:47:55",NA,"jw","IJR-235a","keyboard",104,8.481,-10,3,17,0.5225,0.4799,0.078,20,0,0.4906,0.4959,0.0476,57,7,0.6365,0.5839,0.1655,29,3,0.711,0.6718,0.1723,28,4,0.5593,0.5358,0.1153
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3917",1,"06/17/2019","15:12:01",NA,"jw","IJR-235a","keyboard",104,8.434,5,20,0,0.4605,0.4598,0.0626,20,0,0.4886,0.4598,0.0862,59,5,0.6728,0.6319,0.2246,28,4,0.6847,0.6439,0.2125,31,1,0.662,0.6078,0.2345
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3918",1,"07/03/2019","16:19:13",NA,"jw","IJR-235a","keyboard",104,9.055,2,20,0,0.5042,0.4958,0.0971,20,0,0.4937,0.4558,0.1256,62,2,0.5819,0.5438,0.1629,31,2,0.5929,0.5837,0.1603,31,0,0.5709,0.5118,0.1648
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3919",1,"07/18/2019","18:19:16",NA,"jw","IJR-235a","keyboard",104,9.33,3,19,1,0.4638,0.4399,0.0961,20,0,0.4356,0.4239,0.0653,60,4,0.5264,0.4598,0.1809,30,4,0.5481,0.4798,0.172,30,0,0.5047,0.4399,0.1868
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3920",1,"07/10/2019","09:31:44",NA,"jw","IJR-235a","keyboard",104,9.073,4,19,1,0.3539,0.3438,0.0673,18,2,0.3603,0.3318,0.0662,57,7,0.4748,0.4638,0.1351,29,6,0.4677,0.4719,0.0787,28,1,0.4821,0.4158,0.175
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3921",1,"08/01/2019","10:10:02",NA,"jw","IJR-235a","keyboard",104,9.054,4,20,0,0.4442,0.4559,0.0443,20,0,0.4562,0.4559,0.0415,60,4,0.5521,0.5118,0.1498,31,4,0.6202,0.5758,0.1563,29,0,0.4793,0.4478,0.1002
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3922",1,"07/05/2019","09:42:31",NA,"rs","IJR-235a","keyboard",104,9.844,2,20,0,0.3632,0.3559,0.0385,20,0,0.3794,0.3918,0.0413,62,2,0.409,0.3919,0.0611,31,2,0.4047,0.3998,0.053,31,0,0.4133,0.3919,0.068
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3923",1,"07/19/2019","12:48:14",NA,"jw","IJR-235a","keyboard",104,8.499,1,20,0,0.5979,0.584,0.1339,20,0,0.613,0.5678,0.1507,63,1,0.7398,0.6959,0.2046,30,1,0.7942,0.7358,0.2205,33,0,0.6903,0.6638,0.175
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3924",1,"07/25/2019","18:51:59",NA,"jw","IJR-235a","keyboard",104,7.537,1,20,0,0.9458,0.7678,0.4225,20,0,0.7576,0.6879,0.2064,63,1,1.0961,1.0118,0.4648,32,1,1.1631,1.0438,0.5494,31,0,1.0269,0.9998,0.3435
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3926",1,"09/11/2019","09:01:57",NA,"jw","IJR-235a","keyboard",104,7.962,2,20,0,0.6262,0.5837,0.1691,20,0,0.6493,0.6158,0.1453,62,2,1.1428,0.8319,0.6618,32,2,1.0211,0.8638,0.4533,30,0,1.2726,0.8798,0.8082
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3927",1,"09/09/2019","14:24:05",NA,"jw","IJR-235a","keyboard",104,8.294,4,20,0,0.685,0.6558,0.1828,20,0,0.5802,0.5559,0.1225,60,4,0.75,0.6879,0.3078,31,3,0.8014,0.7598,0.3313,29,1,0.695,0.6478,0.2699
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3928",1,"10/09/2019","10:20:56",NA,"jw","IJR-235a","keyboard",104,8.573,2,20,0,0.5535,0.5438,0.0508,20,0,0.6074,0.6038,0.0502,62,2,0.7096,0.6558,0.1617,34,1,0.7502,0.7358,0.1576,28,1,0.6604,0.6238,0.1527
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3929",1,"10/02/2019","09:49:24",NA,"jw","IJR-235a","keyboard",104,8.421,1,20,0,0.6138,0.5758,0.1722,19,1,0.4988,0.4958,0.0979,62,2,0.7344,0.6959,0.2754,31,2,0.7655,0.7118,0.2984,31,0,0.7033,0.6158,0.2465
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3930",1,"10/07/2019","17:20:56",NA,"jw","IJR-235a","keyboard",104,9.744,2,20,0,0.363,0.3518,0.0529,20,0,0.4022,0.3837,0.0504,62,2,0.4418,0.4158,0.0896,30,2,0.459,0.4318,0.1052,32,0,0.4256,0.4078,0.068
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3932",1,"10/02/2019","17:26:20",NA,"jw","IJR-235a","keyboard",104,8.343,3,20,0,0.471,0.4838,0.0617,20,0,0.4866,0.4758,0.0791,61,3,0.8064,0.6959,0.3341,30,3,0.8289,0.7878,0.3242,31,0,0.7846,0.6638,0.342
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3933",1,"10/25/2019","15:46:27",NA,"jw","IJR-235a","keyboard",104,9.289,0,20,0,0.519,0.4718,0.1121,19,1,0.5581,0.4718,0.1878,63,1,0.5936,0.5118,0.2371,31,1,0.5714,0.5038,0.193,32,0,0.6151,0.5398,0.2714
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3934",1,"01/31/2020","16:09:37",NA,"jw","IJR-235a","keyboard",104,8.585,10,20,0,0.4496,0.4238,0.0914,20,0,0.4762,0.4758,0.0875,54,10,0.5814,0.5118,0.2153,27,4,0.6606,0.5359,0.2639,27,6,0.5023,0.4879,0.1027
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3935",1,"11/01/2019","16:54:31",NA,"jw","IJR-235a","keyboard",104,8.412,6,20,0,0.5204,0.4918,0.1197,19,1,0.4866,0.4638,0.1052,57,7,0.6743,0.5998,0.2109,29,5,0.7209,0.6158,0.2292,28,2,0.6261,0.5677,0.1776
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3936",1,"10/25/2019","13:51:38",NA,"jw","IJR-235a","keyboard",104,8.284,3,20,0,0.6182,0.5439,0.2444,20,0,0.5546,0.5158,0.1559,61,3,0.7248,0.7119,0.2136,33,2,0.7637,0.7439,0.1986,28,1,0.679,0.6679,0.2214
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3937",1,"12/19/2019","09:46:41",NA,"jw","IJR-235a","keyboard",104,9.844,2,20,0,0.3694,0.3678,0.0262,20,0,0.3774,0.3758,0.0392,62,2,0.3988,0.3919,0.0551,30,2,0.3964,0.3919,0.0463,32,0,0.4011,0.3918,0.0622
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","3938",1,"11/13/2019","14:01:03",NA,"jw","IJR-235a","keyboard",104,8.82,5,20,0,0.509,0.4798,0.0917,20,0,0.4905,0.4958,0.0651,59,5,0.6523,0.5439,0.2404,32,3,0.6883,0.5359,0.2793,27,2,0.6096,0.5599,0.1747
